en,ar,mafr
numbers,أرقام,nmari
one,واحد,wahade
two,اثنان,zouje
three,ثلاثة,tlata
four,أربعة,rabaa
five,خمسة,khamssa
six,ستة,satta
a green tree,شجرة خضراء,shajra khdra
a tall building,مبنى طويل القامة,imara aliya 
a very old man,رجل كبير جدا,rajale  sharafe
the old red house,البيت القديم أحمر,bite hmare kdime
seven,سبعة,sabaa
eight,ثمانية,tmaniya
nine,تسعة,tasaa
ten,عشرة,aashra
eleven,أحد عشر,hdashe
twelve,اثنا عشر,tnashe 
thirteen,ثلاثة عشر,tlattashe
fourteen,أربعة عشرة,rbatashe
a very nice friend,صديق لطيف جدا,sahabe maziane 
colors,الوان,louane 
black,أسود,khale
blue,أزرق,zrake
brown,بني,kahwi
gray,رمادي,rmadi
fifteen,خمسة عشر,khamstashe
sixteen,ست عشرة,sattashe 
seventeen,سبعة عشر,sbattashe 
eighteen,ثمانية عشر,tamntashe 
nineteen,تسعة عشر,tasaatashe 
twenty,عشرون,aashrine 
hundred,مائة,miya
one thousand,ألف,alfe
million,مليون,malioune
one,واحد,wahade
some,بعض,shwiya
green,أخضر,khdar
orange,برتقالي,limouni
red,أحمر,hmre
white,أبيض,biyad
yellow,أصفر,sfare
big,كبير,kbir
first,أول,lawale
second,ثان,tany 
third,ثالث,talate
fourth,رابع,rabaa
fifth,خامس,alkhamasse
sixth,سادس,sadasse
seventh,سابع,sabae
eighth,ثامن,tamane 
ninth,تاسع,tassae
few,قليل,ghire shwiya
the book,الكتاب,jtabe
the books,الكتب,laktoube
a book,كتاب,dake laktabe
one book,كتاب واحد,wahade laktabe 
some books,بعض الكتب,shy ktouba
few books,القليل من الكتب,shy ktouba
Food,غذاء,makla
almonds,لوز,louze
deep,عميق,gharake
long,طويل,twile
narrow,ضيق,mdayake
short,قصير,ksir
small,صغير,sghir
tenth,عاشر,alaashare
eleventh,حادى عشر,alhadashe 
twelfth,ثاني عشر,tany aasharre
thirteenth,ثالث عشر,talateasharre
fourteenth,رابع عشر,rabaee aashar
fifteenth,خامس عشر,khamasse aashar
sixteenth,سادس عشر,sadasse aasharre
bread,خبز,khbaze
breakfast,إفطار,laftoure
butter,زبدة,zabda
candy,حلوى,halwa
cheese,جبن,jbane
chicken,دجاج,tdjaje
cumin,كمون,kammoune 
tall,طويل,twile
thick,سميك,ghlide
thin,رقيق,rkike
wide,واسع,wasae
shapes,أشكال,shkale
circular,دائري,mdaware
seventeenth,سابع عشر,sabae aasharre
eighteenth,ثامن عشر,tamane aashare
nineteenth,تاسع عشر,tassaae aasharre
twentieth,العشرين,lishroune 
once,مرة,marra
twice,مرتين,martine 
dessert,حلوى,halwa
dinner,عشاء,laasha
fish,سمك,lhoute
fruit,فاكهة,fakiha
ice cream,الآيس كريم,laglace
lamb,خروف,khroufe
lemon,ليمون,limoune 
lunch,غداء,laghda
